CustomerID,Churn,Recency,Frequency,TotalSpent,AvgOrderValue,TotalItems,UniqueProducts,CustomerLifetimeDays,Purchases_Last30Days,Purchases_Last60Days,Purchases_Last90Days,AvgItemsPerOrder,AvgRevenuePerItem,OrdersPerDay,RevenuePerDay,ProductsPerOrder,ItemsPerProduct,ProductDiversityRatio,RecencyToLifetimeRatio,Recent30to60Ratio,Recent60to90Ratio,SpendPerOrder,SpendPerProduct,FrequencyToLifetimeRatio,ItemsPerDay
16384,0,143,1,392.1,17.047826086956523,198,23,0,0.0,0.0,0.0,99.0,1.97035175879397,1.0,392.1,11.5,8.25,0.11557788944723618,143.0,0.0,0.0,196.05,16.337500000000002,1.0,198.0
16385,0,37,2,239.47000000000003,7.043235294117648,148,33,208,0.0,1.0,1.0,49.333333333333336,1.6071812080536914,0.009569377990430622,1.1457894736842107,11.0,4.352941176470588,0.2214765100671141,0.17703349282296652,0.0,0.5,79.82333333333334,7.043235294117648,0.009569377990430622,0.7081339712918661
16386,0,133,1,61.10000000000001,15.275000000000002,26,4,0,0.0,0.0,0.0,13.0,2.262962962962963,1.0,61.10000000000001,2.0,5.2,0.14814814814814814,133.0,0.0,0.0,30.550000000000004,12.220000000000002,1.0,26.0
16387,1,202,1,94.36,23.59,44,4,0,0.0,0.0,0.0,22.0,2.096888888888889,1.0,94.36,2.0,8.8,0.08888888888888889,202.0,0.0,0.0,47.18,18.872,1.0,44.0
16389,0,84,2,496.05,35.43214285714286,223,14,77,0.0,0.0,1.0,74.33333333333333,2.2145089285714286,0.02564102564102564,6.359615384615385,4.666666666666667,14.866666666666667,0.0625,1.0769230769230769,0.0,0.0,165.35,33.07,0.02564102564102564,2.858974358974359
16392,1,149,1,210.24,5.005714285714286,200,40,0,0.0,0.0,0.0,100.0,1.0459701492537314,1.0,210.24,20.0,4.878048780487805,0.19900497512437812,149.0,0.0,0.0,105.12,5.127804878048781,1.0,200.0
16393,0,22,8,1488.21,8.132295081967213,862,93,226,1.0,2.0,3.0,95.77777777777777,1.7244611819235227,0.03524229074889868,6.555991189427313,10.333333333333334,9.170212765957446,0.10776361529548088,0.09691629955947137,0.3333333333333333,0.5,165.35666666666668,15.832021276595745,0.03524229074889868,3.797356828193833
16394,0,50,3,588.52,12.010612244897958,630,47,118,0.0,1.0,1.0,157.5,0.9326782884310618,0.025210084033613446,4.945546218487395,11.75,13.125,0.07448494453248812,0.42016806722689076,0.0,0.5,147.13,12.260833333333332,0.025210084033613446,5.294117647058823
16395,0,47,3,774.21,7.742100000000001,676,81,162,0.0,1.0,1.0,169.0,1.143589364844904,0.018404907975460124,4.749754601226994,20.25,8.24390243902439,0.11964549483013294,0.2883435582822086,0.0,0.5,193.5525,9.441585365853658,0.018404907975460124,4.147239263803681
16398,1,33,2,972.95,18.357547169811323,511,50,99,0.0,1.0,1.0,170.33333333333334,1.90029296875,0.02,9.7295,16.666666666666668,10.019607843137255,0.09765625,0.33,0.0,0.5,324.31666666666666,19.077450980392157,0.02,5.11
16399,0,114,1,156.84,5.408275862068965,110,29,0,0.0,0.0,0.0,55.0,1.412972972972973,1.0,156.84,14.5,3.6666666666666665,0.26126126126126126,114.0,0.0,0.0,78.42,5.228,1.0,110.0
16401,0,11,7,1445.5,15.543010752688172,1072,49,196,1.0,2.0,2.0,134.0,1.347157502329916,0.03553299492385787,7.33756345177665,6.125,21.44,0.045666356011183594,0.05583756345177665,0.3333333333333333,0.6666666666666666,180.6875,28.91,0.03553299492385787,5.441624365482234
